PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
SALUZ,CONSULTA,CONSULTA GINECOLOGISTA,"R$ 210,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA NUTRICIONISTA,"R$ 180,00","R$ 110,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA OBSTETRA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA ORTOPEDISTA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA OTORRINOLARINGOLOGIA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA PSICOLOGO,"R$ 180,00","R$ 110,00","R$ 150,00"
SALUZ,CONSULTA,CONSULTA PSIQUIATRIA,"R$ 250,00","R$ 125,00","R$ 150,00"
SALUZ,PROCEDIMENTO,DRENAGEM DE ABSCESSO DE GLANDULA DE BARTHOLIN,"R$ 450,00","R$ 370,00","R$ 437,00"
SALUZ,EXAME,ELETROCARDIOGRAMA (ECG),"R$ 70,00","R$ 40,00","R$ 50,00"
SALUZ,PROCEDIMENTO,EXERESE DE NEVUS,"R$ 620,00","R$ 450,00","R$ 612,00"
SALUZ,PROCEDIMENTO,EXERESE DE POLIPO COM HISTOPATOLOGICO,"R$ 600,00","R$ 450,00","R$ 550,00"
SALUZ,PROCEDIMENTO,EXERESE DE POLIPO ENDOCERVICAL SEM HISTOPATOLOGICO,"R$ 450,00","R$ 350,00","R$ 430,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE DIU (DE COBRE) DA CLINICA,"R$ 700,00","R$ 600,00","R$ 695,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE DIU (DIU DA PACIENTE),"R$ 500,00","R$ 450,00","R$ 600,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE DIU (DIU MIRENA DA CLINICA),"R$ 1.800,00","R$ 1.600,00","R$ 1.900,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE DIU DE COBRE E PRATA DA CLINICA,"R$ 750,00","R$ 700,00","R$ 825,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE IMPLANON (IMPLANON DA CLINICA),"R$ 2.200,00","R$ 2.150,00","R$ 2.600,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE IMPLANON (IMPLANON DA PACIENTE),"R$ 1.000,00","R$ 950,00","R$ 1.150,00"
SALUZ,PROCEDIMENTO,INSERÇÃO DE PESSÁRIO GINECOLOGICO,"R$ 700,00","R$ 550,00","R$ 670,00"
SALUZ,PROCEDIMENTO,MARSUPIALIZAÇÃO EM CONSULTORIO,"R$ 1.400,00","R$ 1.125,00","R$ 1.350,00"
