Parceiro;Procedimento;Valor_particular;Valor_repasse;Data da atualização;Valor_venda;Valor_Promoção;Sem_Nota;CÓDIGO
Wolff Hans;Lipoescultura Com Laser; R$ 20.000,00 ; R$ 16.000,00 ;22/05/2025;;;;Wolff HansLipoescultura Com Laser
Wolff Hans;Lipo de Braço; R$ 5.000,00 ; R$ 4.000,00 ;22/05/2025;;;;Wolff HansLipo de Braço
Wolff Hans;Enxertia De Glúteo; R$ 2.250,00 ; R$ 1.800,00 ;22/05/2025;;;;Wolff HansEnxertia De Glúteo
Wolff Hans;Mini Abdominoplastia + Lipo De Cintura; R$ 12.500,00 ; R$ 10.000,00 ;22/05/2025;;;;Wolff HansMini Abdominoplastia + Lipo De Cintura
Wolff Hans;Mamoplastia De Aumento; R$ 7.500,00 ; R$ 6.000,00 ;22/05/2025;;;;Wolff HansMamoplastia De Aumento
Wolff Hans;Ginecomastia; R$ 10.000,00 ; R$ 8.000,00 ;22/05/2025;;;;Wolff HansGinecomastia
Wolff Hans;Mastopexia Sem Prótese; R$ 11.875,00 ; R$ 9.500,00 ;24/07/2025;;;;Wolff HansMastopexia Sem Prótese
Wolff Hans;Mastopexia Com Prótese; R$ 11.875,00 ; R$ 9.500,00 ;22/05/2025;;;;Wolff HansMastopexia Com Prótese
Wolff Hans;Mamoplastia Redutora; R$ 11.250,00 ; R$ 9.000,00 ;22/05/2025;;;;Wolff HansMamoplastia Redutora
Wolff Hans;Abdominoplastia; R$ 10.000,00 ; R$ 8.000,00 ;22/05/2025;;;;Wolff HansAbdominoplastia
Wolff Hans;Abdominoplastia + Lipo De Cintura; R$ 13.750,00 ; R$ 11.000,00 ;22/05/2025;;;;Wolff HansAbdominoplastia + Lipo De Cintura
Wolff Hans;Lipo de Cintura+ Abdominoplastia + Enxertia de Glúteo; R$ 16.000,00 ; R$ 12.800,00 ;08/07/2025;;;;Wolff HansLipo de Cintura+ Abdominoplastia + Enxertia de Glúteo
Wolff Hans;Abdominoplastia + Lipo De Cintura + Costa; R$ 17.500,00 ; R$ 14.000,00 ;22/05/2025;;;;Wolff HansAbdominoplastia + Lipo De Cintura + Costa
Wolff Hans;Abdominoplastia + Lipo Média+ Hérnia; R$ 18.125,00 ; R$ 14.500,00 ;22/05/2025;;;;Wolff HansAbdominoplastia + Lipo Média+ Hérnia
