PARCEIRO,ESPECIALIDADE,PRODUTOS,VALOR PARTICULAR,VALOR REPASSE,VALOR VENDA
Biolab,Exame,ANTICORPO ANTI INSULINA," R$  130,00 "," R$  91,00 ","R$ 0,00"
Biolab,Exame,ANTICORPOS ANTI CÉLULAS PARIENTERAIS," R$  100,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,ANTICORPOS ANTI GANGLIOSÍDEOS IGG GM1," R$  900,00 "," R$  630,00 ","R$ 0,00"
Biolab,Exame,ANTICORPOS ANTI GANGLIOSÍDEOS IGM GM1," R$  900,00 "," R$  630,00 ","R$ 0,00"
Biolab,Exame,ANTI-DNA," R$  30,00 "," R$  21,00 ","R$ 0,00"
Biolab,Exame,ANTIESCLERODERMA( SCL 70 )," R$  50,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,ANTÍGENO CARCINOEMBRIOGÊNICO( CEA )," R$  30,00 "," R$  14,00 ","R$ 0,00"
Biolab,Exame,ANTIGENO DO CARCINOMA DE CELULAS ESCAMOSAS - SCC," R$  330,00 "," R$  231,00 ","R$ 0,00"
Biolab,Exame,ANTIGENO SOLÚVEL HEPATICO / FIGADO / PANCREAS. ANTICORPO ANTI ANTI SLA / LP," R$  730,00 "," R$  511,00 ","R$ 0,00"
Biolab,Exame,ANTIGLIADINA( GLÚTEN ) - IGA," R$  50,00 "," R$  27,00 ","R$ 0,00"
Biolab,Exame,ANTIGLIADINA( GLÚTEN ) IGG," R$  40,00 "," R$  27,00 ","R$ 0,00"
Biolab,Exame,ANTIGLIADINA( GLÚTEN ) IGM," R$  90,00 "," R$  74,00 ","R$ 0,00"
Biolab,Exame,ANTI-JO1," R$  70,00 "," R$  43,00 ","R$ 0,00"
Biolab,Exame,ANTI-LA/SSB," R$  40,00 "," R$  25,00 ","R$ 0,00"
Biolab,Exame,ANTI-LKM-1," R$  60,00 "," R$  31,00 ","R$ 0,00"
Biolab,Exame,ANTI-MULLERIANO," R$  520,00 "," R$  460,00 ","R$ 0,00"
Biolab,Exame,ANTIMÚSCULO CARDÍACO," R$  128,00 "," R$  89,60 ","R$ 0,00"
Biolab,Exame,ANTIMÚSCULO ESTRIADO," R$  410,00 "," R$  287,00 ","R$ 0,00"
Biolab,Exame,ANTIMÚSCULO LISO - AML," R$  30,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,ANTINEUTRÓFILOS( ANCA C) E (ANCA P)," R$  100,00 "," R$  82,00 ","R$ 0,00"
Biolab,Exame,"ANTI-PEROXIDASE(ANTI-TPO), ANTIMICROSSOMAL"," R$  30,00 "," R$  21,00 ","R$ 0,00"
Biolab,Exame,ANTI-RNP," R$  40,00 "," R$  30,00 ","R$ 0,00"
Biolab,Exame,ANTI-RO/SSA," R$  30,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,ANTI-SM," R$  40,00 "," R$  23,00 ","R$ 0,00"
Biolab,Exame,ANTI-TIREOGLOBULINA - AAT," R$  40,00 "," R$  30,00 ","R$ 0,00"
Biolab,Exame,"ANTITROMBINA III - FATOR XIII, DOSAGEM, TESTE FUNCIONAL"," R$  100,00 "," R$  80,00 ","R$ 0,00"
Biolab,Exame,APOLIPROTEINA A ( APO A )," R$  30,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,ARSÊNICO SERICO," R$  80,00 "," R$  56,00 ","R$ 0,00"
Biolab,Exame,ARSÊNICO URINÁRIO," R$  90,00 "," R$  63,00 ","R$ 0,00"
Biolab,Exame,"ASLO, QUANTITATIVO"," R$  20,00 "," R$  5,00 ","R$ 0,00"
Biolab,Exame,ATIVADOR TISSULAR DE PLASMINOGÊNIO TECIDUAL ( TPA )," R$  1.238,00 "," R$  866,60 ","R$ 0,00"
Biolab,Exame,"ATIVIDADE DE FEBRE REUMÁTICA ( ASLO, ELETROFORESE DE PROTEÍNAS, VHS, MUCOPROTEÍNAS E PROTEÍNA “C” REATIVA )"," R$  100,00 "," R$  70,00 ","R$ 0,00"
Biolab,Exame,AUTOANTICORPO ANTI-PROTEÍNA P RIBOSSOMAL," R$  355,00 "," R$  248,50 ","R$ 0,00"
Biolab,Exame,"AZIDA SÓDICA, ÁCIDO 2 - TIO - TIAZOLIDINA (PARA DEISSULFETO DE CARBONO) - URINA"," R$  195,00 "," R$  136,50 ","R$ 0,00"
Biolab,Exame,B.A.A.R ( ZIEHL ) 1ª AMOSTRA," R$  47,00 "," R$  25,00 ","R$ 0,00"
Biolab,Exame,B.A.A.R ( ZIEHL ) 2ª AMOSTRA," R$  47,00 "," R$  25,00 ","R$ 0,00"
Biolab,Exame,B.A.A.R ( ZIEHL ) 3ª AMOSTRA," R$  47,00 "," R$  25,00 ","R$ 0,00"
Biolab,Exame,B.A.A.R CULTURA / MICOBACTÉRIAS," R$  80,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,BACILOSCOPIA LÍQUIDOS," R$  25,00 "," R$  17,50 ","R$ 0,00"
Biolab,Exame,BACILOSCOPIA PARA HANSENIASE," R$  80,00 "," R$  56,00 ","R$ 0,00"
Biolab,Exame,BACTERIOSCOPIA( GRAM) POR LÂMINA," R$  38,00 "," R$  22,00 ","R$ 0,00"
Biolab,Exame,BETA – 2- MICROGLOBULINA," R$  65,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,BETA – 2- MICROGLOBULINA URINA," R$  40,00 "," R$  28,00 ","R$ 0,00"
Biolab,Exame,BETA 2 GLICOPROTEINA IGA," R$  250,00 "," R$  170,00 ","R$ 0,00"
Biolab,Exame,BETA -2- GLICOPROTEÍNA IGG E IGM," R$  250,00 "," R$  100,00 ","R$ 0,00"
Biolab,Exame,BETA HCG-HORMÔNIO GONODOTROFICO CORIÔNICO QUALITATIVO," R$  30,00 "," R$  16,00 ","R$ 0,00"
Biolab,Exame,BETA HCG-HORMÔNIO GONODOTROFICO CORIÔNICO QUANTITATIVO," R$  42,00 "," R$  26,00 ","R$ 0,00"
Biolab,Exame,BETACAROTENO," R$  130,00 "," R$  91,00 ","R$ 0,00"
Biolab,Exame,BETA-GLICURONIDASE," R$  390,00 "," R$  273,00 ","R$ 0,00"
Biolab,Exame,BICARBONATO," R$  47,00 "," R$  20,00 ","R$ 0,00"
Biolab,Exame,"BILIRRUBINAS ( DIRETA, INDIRETA E TOTAL )"," R$  20,00 "," R$  5,00 ","R$ 0,00"
Biolab,Exame,BLASTOMICOSE / PARACOCO," R$  250,00 "," R$  175,00 ","R$ 0,00"
Biolab,Exame,BORDETELLA - ANTICORPOS IGG," R$  130,00 "," R$  110,00 ","R$ 0,00"
Biolab,Exame,BORDETELLA - ANTICORPOS IGM," R$  130,00 "," R$  110,00 ","R$ 0,00"
Biolab,Exame,BRUCELOSE IGG," R$  100,00 "," R$  80,00 ","R$ 0,00"
Biolab,Exame,BRUCELOSE IGM," R$  100,00 "," R$  80,00 ","R$ 0,00"
Biolab,Exame,CA 15-3," R$  40,00 "," R$  32,00 ","R$ 0,00"
Biolab,Exame,CA 15-3," R$  40,00 "," R$  32,00 ","R$ 0,00"
Biolab,Exame,CA 50/100," R$  100,00 "," R$  90,00 ","R$ 0,00"
Biolab,Exame,CA 50/100," R$  100,00 "," R$  90,00 ","R$ 0,00"
Biolab,Exame,CA-125," R$  40,00 "," R$  21,00 ","R$ 0,00"
Biolab,Exame,CA-125," R$  40,00 "," R$  21,00 ","R$ 0,00"
Biolab,Exame,CA19-9," R$  40,00 "," R$  26,00 ","R$ 0,00"
Biolab,Exame,CA19-9," R$  40,00 "," R$  26,00 ","R$ 0,00"
Biolab,Exame,CA72-4," R$  80,00 "," R$  40,00 ","R$ 0,00"
Biolab,Exame,CA72-4," R$  80,00 "," R$  48,00 ","R$ 0,00"
Biolab,Exame,CADMIO SANGUINEO," R$  80,00 "," R$  56,00 ","R$ 0,00"
Biolab,Exame,CADMIO URINARIO," R$  50,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,CÁLCIO," R$  10,00 "," R$  5,00 ","R$ 0,00"
Biolab,Exame,CALCIO IÔNICO," R$  10,00 "," R$  7,00 ","R$ 0,00"
Biolab,Exame,CÁLCIO URINA DE 24H," R$  20,00 "," R$  11,00 ","R$ 0,00"
Biolab,Exame,CÁLCIO URINÁRIO AMOSTRA ISOLADA," R$  15,00 "," R$  11,00 ","R$ 0,00"
Biolab,Exame,CALCITONINA," R$  50,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,CALPROTECTINA FECAL," R$  200,00 "," R$  170,00 ","R$ 0,00"
Biolab,Exame,CANDIDA ANTICORPO IGG," R$  150,00 "," R$  105,00 ","R$ 0,00"
Biolab,Exame,CANDIDA ANTICORPO IGM," R$  150,00 "," R$  105,00 ","R$ 0,00"
Biolab,Exame,CAPACIDADE DE LIGAÇÃO DE FERRO TIBC," R$  20,00 "," R$  10,00 ","R$ 0,00"
Biolab,Exame,CAPTURA HIBRIDA PARA CHLAMYDIA," R$  300,00 "," R$  210,00 ","R$ 0,00"
Biolab,Exame,CAPTURA HIBRIDA PARA GONOCOCCUS," R$  300,00 "," R$  210,00 ","R$ 0,00"
Biolab,Exame,CAPTURA HIBRIDA PARA HPV - GRUPO B," R$  300,00 "," R$  210,00 ","R$ 0,00"
Biolab,Exame,CAPTURA HIBRIDA PARA HPV (A + B)," R$  420,00 "," R$  294,00 ","R$ 0,00"
Biolab,Exame,CAPTURA HIBRIDA PARA HPV-GRUPO A," R$  300,00 "," R$  210,00 ","R$ 0,00"
Biolab,Exame,CARBAMAZEPINA," R$  70,00 "," R$  35,00 ","R$ 0,00"
Biolab,Exame,CARBOXIHEMOGLOBINA (PARA MONÓXIDO DE CARBONO DICLOROMETANO)," R$  47,00 "," R$  18,00 ","R$ 0,00"
Biolab,Exame,CARIOTIPO BANDA G," R$  650,00 "," R$  600,00 ","R$ 0,00"
Biolab,Exame,CATECOLAMINAS," R$  200,00 "," R$  140,00 ","R$ 0,00"
Biolab,Exame,CATECOLAMINAS LIVRES," R$  120,00 "," R$  84,00 ","R$ 0,00"
Biolab,Exame,CATECOLAMINAS URINARIAS," R$  150,00 "," R$  105,00 ","R$ 0,00"
